Year	Milk	Tea	Coffee	Juice
1910	32.2	9.6	21.7	18.0
1911	31.3	10.2	19.7	19.0
1912	34.4	9.6	25.5	20.0
1913	33.1	8.5	21.2	31.0
1914	31.1	8.9	21.8	10.0
1915	29	9.6	25	21.0
1916	28	9.6	27.1	10.0
1917	29.7	11.3	28.6	32.0
1918	34	11.3	23.7	21.0
1919	30.4	5.8	27.9	21.0
1920	34	7.7	27.6	30.0
1921	33.2	6.5	28.4	10.1
1922	33.5	8	27.8	10.0
1923	32.5	8.5	29.9	7.0
1924	32.7	7.5	28.9	7.0
1925	33.6	8.1	25	7.0
1926	33.5	7.6	29.3	7.0
1927	33.2	6.9	28.7	7.0
1928	33.2	6.9	28.2	7.0
1929	33.4	6.8	28.7	7.0
1930	33.2	6.4	29.5	7.0
1931	33.2	6.5	30.7	7.0
1932	33.8	7.1	29.4	7.0
1933	33.7	7.2	30.1	7.0
1934	32.5	5.5	29.1	7.0
1935	33	6	31.7	7.0
1936	33.3	6	32.4	7.0
1937	33.5	6.4	31.4	7.0
1938	33.5	6.3	35.2	7.0
1939	34	6.6	35.2	7.0	
1940	34	6.2	36.6	7.0	
1941	34.4	7.3	38	7.0
1942	37	5.2	36.2	7.0
1943	41	5.7	33.1	7.0
1944	43.6	5.1	41.8	7.0
1945	44.7	5.2	44.4	7.0
1946	42.1	5.2	46.4	7.0
1947	39.9	5.4	40.8	7.0
1948	38.1	5.4	43.5	7.0
1949	37.5	5.7	45.1	7.0
1950	37.2	5.7	38.6	7.0
1951	37.5	6.1	39.5	7.0
1952	37.6	5.9	38	7.0
1953	37	6.2	37.3	7.0
1954	36.2	6.4	30.5	7.0
1955	36.2	6	32	7.0	
1956	36.3	5.9	31.6	7.0
1957	35.9	5.5	30.6	7.0
1958	35.2	5.5	30.4	7.0
1959	34.4	5.5	30.9	7.0
1960	33.9	5.6	30.7	7.0
1961	33	5.8	31	7.0
1962	32.9	6	31	7.0
1963	33	6.2	30.8	7.0
1964	33	6.3	30.5	7.0
1965	32.9	6.4	29.4	7.0
1966	33	6.5	28.9	7.0
1967	31.4	6.6	29	7.0
1968	31.3	6.8	29.1	7.0
1969	31.1	6.8	27.6	7.0
1970	31.3	6.8	27.4	7.0
1971	31.3	7.2	25.7	7.0
1972	31	7.3	26.8	7.0
1973	30.5	7.4	25.8	7.0
1974	29.5	7.5	24.2	7.0
1975	29.5	7.5	23.3	7.0
1976	29.3	7.7	23.7	7.0
1977	29	7.5	17.2	7.0
1978	28.6	7.2	19.9	7.0
1979	28.2	6.9	21.7	7.0
1980	27.6	7.3	19.2	7.0
1981	27.1	7.2	18.7	7.0
1982	26.4	6.9	18.3	7.0
1983	26.3	7	18.5	7.0
1984	26.4	7.1	18.9	7.0
1985	26.7	7.1	19.3	7.0
1986	26.5	7.1	19.4	7.0
1987	26.1	6.9	18.8	7.0
1988	26.1	7	18.2	7.0
1989	26	6.9	18.8	7.0
1990	25.7	6.9	19.4	7.0
1991	25.5	7.4	19.5	7.0	
1992	25.1	8	18.9	7.0
1993	24.4	8.3	17.2	7.0
1994	24.3	8.1	15.6	7.0	
1995	23.9	7.9	15.3	7.0
1996	23.8	7.6	16.8	7.0
1997	23.4	7.2	17.9	7.0
1998	23	8.3	18.3	7.0
1999	22.9	8.2	19.3	7.0
2000	22.5	7.8	20	7.0
2001	22	8.2	18.5	7.0
2002	21.9	7.8	18.1	7.0
2003	21.6	7.5	18.5	7.0
2004	21.2	7.3	18.8	0.0
