Year	Rain	Barley	Sheep
1884	20.1	15.2	19.09
1885	26.66	16.9	19.58
1886	31.76	15.3	18.92
1887	15.64	14.9	19.19
1888	19.99	15.7	18.53
1889	25.61	15.1	18.68
1890	17.7	16.7	19.91
1891	25.89	16.3	21.11
1892	21.58	16.5	21.19
1893	20.17	13.3	19.91
1894	20.25	16.5	18.59
1895	20.75	15	18.56
1896	22.99	15.9	19.24
1897	23.73	15.5	18.92
1898	19.75	16.9	19.16
1899	22.64	16.4	19.68
1900	28.53	14.9	19.28
1901	20.44	14.5	18.98
1902	21.53	16.6	18.50
1903	32.37	15.1	18.41
1904	19.73	14.6	18.24
1905	20.01	16	18.23
1906	23.94	16.8	18.43
1907	25.65	16.8	18.80
1908	22.7	15.5	19.68
1909	26.05	17.3	20.29
1910	26.55	15.5	19.96
1911	19.79	15.5	19.33
1912	31.14	14.2	18.05
1913	22.46	15.8	17.13
1914	24.74	15.7	17.26
1915	26.67	14.1	17.52
1916	27.04	14.8	17.95
1917	21.81	14.4	17.17
1918	23.28	15.6	16.48
1919	28.07	13.9	15.12
1920	26.51	14.7	13.38
1921	18.14	14.3	13.83
1922	28.25	14	13.44
1923	25.4	14.5	13.84
1924	26.17	15.4	14.84
1925	23.91	15.3	15.97
1926	20.28	16	16.86
1927	28.97	16.4	17.07
1928	24.15	17.2	16.40
1929	21.02	17.8	16.11
1930	30.78	14.4	16.32
1931	27.98	15	17.75
1932	25.16	16	18.50
1933	19.82	16.8	18.09
1934	20.14	16.9	16.53
1935	26.81	16.6	16.48
1936	23.32	16.2	16.65
1937	24.29	14	16.27
1938	20.38	18.1	17.91
1939	25	17.5	17.97
