Year	Rainfall	Barley	Sheep
1884	20.1	15.2	1909
1885	26.66	16.9	1958
1886	31.76	15.3	1892
1887	15.64	14.9	1919
1888	19.99	15.7	1853
1889	25.61	15.1	1868
1890	17.7	16.7	1991
1891	25.89	16.3	2111
1892	21.58	16.5	2119
1893	20.17	13.3	1991
1894	20.25	16.5	1859
1895	20.75	15	1856
1896	22.99	15.9	1924
1897	23.73	15.5	1892
1898	19.75	16.9	1916
1899	22.64	16.4	1968
1900	28.53	14.9	1928
1901	20.44	14.5	1898
1902	21.53	16.6	1850
1903	32.37	15.1	1841
1904	19.73	14.6	1824
1905	20.01	16	1823
1906	23.94	16.8	1843
1907	25.65	16.8	1880
1908	22.7	15.5	1968
1909	26.05	17.3	2029
1910	26.55	15.5	1996
1911	19.79	15.5	1933
1912	31.14	14.2	1805
1913	22.46	15.8	1713
1914	24.74	15.7	1726
1915	26.67	14.1	1752
1916	27.04	14.8	1795
1917	21.81	14.4	1717
1918	23.28	15.6	1648
1919	28.07	13.9	1512
1920	26.51	14.7	1338
1921	18.14	14.3	1383
1922	28.25	14	1344
1923	25.4	14.5	1384
1924	26.17	15.4	1484
1925	23.91	15.3	1597
1926	20.28	16	1686
1927	28.97	16.4	1707
1928	24.15	17.2	1640
1929	21.02	17.8	1611
1930	30.78	14.4	1632
1931	27.98	15	1775
1932	25.16	16	1850
1933	19.82	16.8	1809
1934	20.14	16.9	1653
1935	26.81	16.6	1648
1936	23.32	16.2	1665
1937	24.29	14	1627
1938	20.38	18.1	1791
1939	25	17.5	1797
